cluster_id,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_Mon,day_Tue,day_Wed,day_Thu,day_Fri,day_Sat,day_Sun,window_afternoon,window_early_morning,window_evening,window_late_night,window_morning,window_night,peak_hour,peak_day,rush_hour_ratio,is_night_dominant,is_weekend_dominant
264,0.25,0.25,0.1667,0.0833,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.3333,0.0833,0.25,0.1667,0.0833,0.0,0.0,0.0,12.0,0.0,0.0,0,Wed,0.0,1,0
265,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.1,0.1,0.0,0.0,0.4,0.3,0.2,0.0,0.0,1.0,0.0,2.0,0.0,7.0,21,Thu,0.0,1,0
266,0.0,0.1429,0.2857,0.0,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.1429,0.1429,0.0,0.4286,0.2857,0.0,0.0,3.0,0.0,3.0,0.0,1.0,5,Fri,0.0,1,0
267,0.0,0.0,0.0,0.0,0.0,0.449,0.0,0.1429,0.3469,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204,0.0,0.0,0.0204,0.0,0.4694,0.0408,0.0816,0.0,0.2857,0.102,0.0204,0.0,46.0,1.0,0.0,1.0,1.0,5,Mon,0.5306,0,0
268,0.0,0.0,0.0667,0.0,0.0,0.0,0.1333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333,0.0,0.0667,0.0,0.1333,0.1333,0.1333,0.2667,0.0,0.0,0.6,0.0667,0.0667,0.0,0.0,5.0,3.0,1.0,0.0,6.0,8,Thu,0.4,0,0
269,0.0833,0.3333,0.0833,0.0,0.0,0.25,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0833,0.0,0.25,0.0833,0.0,0.4167,0.0,0.25,0.0,4.0,1.0,6.0,0.0,1.0,1,Fri,0.0,1,0
270,0.0,0.0405,0.0,0.0,0.0,0.1216,0.4189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1892,0.2297,0.0,0.0811,0.2838,0.1351,0.0946,0.0135,0.1351,0.2568,0.0,40.0,0.0,3.0,0.0,31.0,6,Tue,0.0,0,0
271,0.0312,0.0312,0.0938,0.0,0.0625,0.1562,0.0625,0.3438,0.0938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312,0.0625,0.0,0.0312,0.125,0.0625,0.1562,0.3438,0.0312,0.125,0.1562,0.0,21.0,1.0,7.0,0.0,3.0,7,Thu,0.4376,0,0
272,0.0455,0.0227,0.0227,0.0227,0.0,0.0227,0.1591,0.0,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727,0.3636,0.0455,0.2955,0.0455,0.2045,0.1136,0.1364,0.1136,0.0909,0.0,9.0,0.0,5.0,0.0,30.0,22,Mon,0.0227,1,0
273,0.2143,0.2143,0.0714,0.0714,0.0,0.1429,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2143,0.0714,0.3571,0.2143,0.0714,0.0,0.1429,0.1429,0.0,3.0,0.0,8.0,0.0,3.0,0,Tue,0.0,1,0
274,0.6667,0.0,0.0,0.0667,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.5333,0.2,0.1333,0.0,0.0,0.1333,0.0,0.0,3.0,0.0,11.0,0.0,1.0,0,Mon,0.0,1,0
275,0.0465,0.0,0.0233,0.0,0.0465,0.093,0.186,0.1628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0465,0.1628,0.0233,0.2093,0.1395,0.093,0.0698,0.093,0.0698,0.3023,0.2326,0.0,19.0,2.0,5.0,0.0,17.0,23,Sat,0.1628,1,1
276,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.4167,0.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.3333,0.1667,0.0833,0.0833,0.0,0.3333,0.0,11.0,0.0,0.0,0.0,1.0,7,Tue,0.8334,0,0
277,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.4,0.1,0.2,0.0,0.0,5.0,0.0,3.0,0.0,2.0,8,Thu,0.5,0,0
278,0.0175,0.0175,0.0175,0.0175,0.0351,0.0526,0.2632,0.2281,0.0702,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.1228,0.0526,0.1228,0.1404,0.0877,0.0526,0.0702,0.2456,0.2807,0.0,35.0,0.0,6.0,3.0,13.0,6,Sun,0.3509,0,1
279,0.0,0.0909,0.0909,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636,0.0,0.3636,0.1818,0.8182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,21,Tue,0.0,1,0
280,0.0,0.129,0.0323,0.0645,0.0,0.0645,0.1935,0.2903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1613,0.0645,0.0,0.0968,0.4516,0.129,0.0968,0.0,0.1935,0.0323,0.0,17.0,0.0,7.0,0.0,7.0,7,Tue,0.2903,0,0
